Time,	,RPM,	,Position,	,RPMDifferent,	,AnalogOutput
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,0.47123812288193501,	,0.0
0.0,	,0.0,	,0,	,0.94247159483384302,	,0.0
0.0,	,0.0,	,0,	,1.4136957649716002,	,0.0
0.00752875,	,0.0,	,0,	,1.88490598250289,	,0.0
0.00752875,	,0.0,	,0,	,2.3560975967731004,	,0.0
0.00752875,	,0.0,	,0,	,2.8272659573112295,	,0.0
0.00752875,	,0.0,	,0,	,3.29840641387577,	,0.0
0.00752875,	,0.0,	,0,	,3.7695143165006204,	,0.0
0.00752875,	,0.0,	,0,	,4.2405850155409901,	,0.47297095052684796
0.00752875,	,0.0,	,0,	,4.7116138617192398,	,0.47297095052684796
0.00752875,	,0.0,	,0,	,5.1825962061708397,	,0.47297095052684796
0.01552,	,0.0,	,0,	,5.6535274004901801,	,0.47297095052684796
0.01552,	,0.0,	,0,	,6.1244027967764998,	,0.47297095052684796
0.01552,	,0.0,	,0,	,6.5952177476797402,	,0.47297095052684796
0.01552,	,0.0,	,0,	,7.0659676064464012,	,0.47297095052684796
0.01552,	,0.0,	,0,	,7.5366477269654295,	,0.47297095052684796
0.01552,	,0.0,	,0,	,8.0072534638140702,	,0.47297095052684796
0.01552,	,0.0,	,0,	,8.4777801723036799,	,0.47297095052684796
0.01552,	,0.0,	,0,	,8.948223208525599,	,0.47297095052684796
0.02351,	,0.0,	,0,	,9.41857792939701,	,0.66060156491602562
0.02351,	,0.0,	,0,	,9.8888396927066786,	,0.66060156491602562
0.02351,	,0.0,	,0,	,10.3590038571609,	,0.66060156491602562
0.02351,	,0.0,	,0,	,10.829065782429099,	,0.66060156491602562
0.02351,	,0.0,	,0,	,11.299020829189901,	,0.66060156491602562
0.02351,	,0.0,	,0,	,11.7688643591767,	,0.66060156491602562
0.02351,	,0.0,	,0,	,12.238591735223599,	,0.66060156491602562
0.0323409375,	,0.0,	,0,	,12.708198321310999,	,0.66060156491602562
0.0323409375,	,0.0,	,0,	,13.177679482611499,	,0.66060156491602562
0.0323409375,	,0.0,	,0,	,13.6470305855355,	,0.66034099582341699
0.0323409375,	,0.0,	,0,	,14.1162469977771,	,0.66034099582341699
0.0323409375,	,0.0,	,0,	,14.585324088359899,	,0.66034099582341699
0.0323409375,	,0.0,	,0,	,15.0542572276822,	,0.66034099582341699
0.0323409375,	,0.0,	,0,	,15.5230417875634,	,0.66034099582341699
0.039593125,	,0.0,	,0,	,15.991673141289001,	,0.66034099582341699
0.039593125,	,0.0,	,0,	,16.460146663656801,	,0.66034099582341699
0.039593125,	,0.0,	,0,	,16.928457731022302,	,0.66034099582341699
0.039593125,	,0.0,	,0,	,17.396601721344201,	,0.72759463740075248
0.039593125,	,0.0,	,0,	,17.864574014230499,	,0.72759463740075248
0.047601875,	,0.0,	,0,	,18.332369990983398,	,0.72759463740075248
0.047601875,	,0.0,	,0,	,18.799985034645601,	,0.72759463740075248
0.047601875,	,0.0,	,0,	,19.267414530045397,	,0.72759463740075248
0.047601875,	,0.0,	,0,	,19.7346538638424,	,0.72759463740075248
0.055664687500000004,	,0.0,	,0,	,20.2016984245729,	,0.64493711719108993
0.055664687500000004,	,0.0,	,0,	,20.668543602695699,	,0.64493711719108993
0.055664687500000004,	,0.0,	,0,	,21.135184790637396,	,0.64493711719108993
0.055664687500000004,	,0.0,	,0,	,21.601617382837802,	,0.64493711719108993
0.055664687500000004,	,0.0,	,0,	,22.067836775795602,	,0.64493711719108993
0.06355875,	,0.0,	,0,	,22.533838368113603,	,0.64493711719108993
0.06355875,	,0.0,	,0,	,22.999617560544099,	,0.64493711719108993
0.06355875,	,0.0,	,0,	,23.465169756034602,	,0.64493711719108993
0.06355875,	,0.0,	,0,	,23.930490359772897,	,0.64493711719108993
0.06355875,	,0.0,	,0,	,24.395574779232501,	,0.87978105126650219
0.06355875,	,0.0,	,0,	,24.860418424218,	,0.87978105126650219
0.06355875,	,0.0,	,0,	,25.325016706910098,	,0.87978105126650219
0.06355875,	,0.0,	,0,	,25.789365041911395,	,0.87978105126650219
0.071386875,	,0.0,	,0,	,26.253458846291398,	,0.87978105126650219
0.071386875,	,0.0,	,0,	,26.717293539631502,	,0.87978105126650219
0.071386875,	,0.0,	,0,	,27.180864544070602,	,0.87978105126650219
0.071386875,	,0.0,	,0,	,27.644167284350001,	,0.87978105126650219
0.071386875,	,0.0,	,0,	,28.107197187858702,	,0.87978105126650219
0.071386875,	,0.0,	,0,	,28.569949684678502,	,0.87978105126650219
0.071386875,	,0.0,	,0,	,29.032420207628999,	,0.87978105126650219
0.071386875,	,0.0,	,0,	,29.494604192312998,	,1.066701164923461
0.079506875,	,0.0,	,0,	,29.956497077161103,	,1.066701164923461
0.079506875,	,0.0,	,0,	,30.418094303476895,	,1.066701164923461
0.079506875,	,0.0,	,0,	,30.879391315482202,	,1.066701164923461
0.079506875,	,0.0,	,0,	,31.340383560361801,	,1.066701164923461
0.079506875,	,0.0,	,0,	,31.801066488308201,	,1.066701164923461
0.079506875,	,0.0,	,0,	,32.261435552567001,	,1.066701164923461
0.079506875,	,0.0,	,0,	,32.721486209481398,	,1.066701164923461
0.079506875,	,0.0,	,0,	,33.181213918537104,	,1.066701164923461
0.0874909375,	,0.0,	,0,	,33.640614142407195,	,1.066701164923461
0.0874909375,	,0.0,	,0,	,34.099682346997,	,1.066701164923461
0.0874909375,	,0.0,	,0,	,34.5584140014886,	,1.1685644687338712
0.0874909375,	,0.0,	,0,	,35.016804578385802,	,1.1685644687338712
0.0874909375,	,0.0,	,0,	,35.474849553558705,	,1.1685644687338712
0.0874909375,	,0.0,	,0,	,35.932544406288294,	,1.1685644687338712
0.0874909375,	,0.0,	,0,	,36.389884619311104,	,1.1685644687338712
0.0874909375,	,0.0,	,0,	,36.846865678863999,	,1.1685644687338712
0.0954928125,	,0.0,	,0,	,37.303483074728206,	,1.1685644687338712
0.0954928125,	,0.0,	,0,	,37.759732300274599,	,1.1685644687338712
0.0954928125,	,0.0,	,0,	,38.215608852507295,	,1.1685644687338712
0.0954928125,	,0.0,	,0,	,38.671108232108999,	,1.1685644687338712
0.0954928125,	,0.0,	,0,	,39.126225943484499,	,1.1685644687338712
0.0954928125,	,0.0,	,0,	,39.580957494805901,	,1.2694972109110436
0.0954928125,	,0.0,	,0,	,40.035298398056298,	,1.2694972109110436
0.0954928125,	,0.0,	,0,	,40.489244169074503,	,1.2694972109110436
0.1034840625,	,0.0,	,1,	,40.942790327598793,	,1.2694972109110436
0.1034840625,	,1.7749733199322846,	,1,	,39.620959077379609,	,1.2694972109110436
0.1034840625,	,1.7749733199322846,	,1,	,40.073692585952116,	,1.2694972109110436
0.1034840625,	,1.7749733199322846,	,1,	,40.526013065087113,	,1.2694972109110436
0.1034840625,	,1.7749733199322846,	,1,	,40.977916050564112,	,1.2694972109110436
0.1034840625,	,1.7749733199322846,	,1,	,41.42939708228311,	,1.2694972109110436
0.1034840625,	,1.7749733199322846,	,1,	,41.880451704308513,	,1.2694972109110436
0.1034840625,	,1.7749733199322846,	,1,	,42.331075464913312,	,1.1470810549317925
0.1114946875,	,1.7749733199322846,	,1,	,42.781263916622919,	,1.1470810549317925
0.1114946875,	,1.64840746324721,	,1,	,43.357578472944184,	,1.1470810549317925
0.1114946875,	,1.64840746324721,	,1,	,43.806882981668892,	,1.1470810549317925
0.1114946875,	,1.64840746324721,	,1,	,44.255738865027887,	,1.1470810549317925
