Time,	,Position,	,AnalogVolt,	,Error
0.0008396875,	,0,	,0.0,	,0
0.0008396875,	,0,	,0.0,	,0
0.0008396875,	,0,	,0.0,	,0
0.0008396875,	,0,	,0.0,	,0
0.0008396875,	,0,	,0.0,	,0
0.0008396875,	,0,	,0.0,	,0
0.0008396875,	,0,	,0.0,	,0
0.0087840625,	,0,	,0.0,	,0
0.0087840625,	,0,	,0.0,	,0
0.0087840625,	,0,	,0.0,	,0
0.0087840625,	,0,	,0.0,	,-1
0.0087840625,	,0,	,0.01914985495627998,	,-1
0.0087840625,	,0,	,0.01914985495627998,	,-1
0.0087840625,	,0,	,0.01914985495627998,	,-1
0.0087840625,	,0,	,0.01914985495627998,	,-1
0.0087840625,	,0,	,0.01914985495627998,	,-1
0.017146875,	,0,	,0.01914985495627998,	,-1
0.017146875,	,0,	,0.01914985495627998,	,-1
0.017146875,	,0,	,0.01914985495627998,	,-1
0.017146875,	,0,	,0.01914985495627998,	,-1
0.017146875,	,0,	,0.01914985495627998,	,-2
0.017146875,	,0,	,0.01914985495627998,	,-2
0.017146875,	,0,	,0.0291272617908405,	,-2
0.0247428125,	,0,	,0.0291272617908405,	,-2
0.0247428125,	,0,	,0.0291272617908405,	,-2
0.0247428125,	,0,	,0.0291272617908405,	,-2
0.0247428125,	,0,	,0.0291272617908405,	,-2
0.0247428125,	,0,	,0.0291272617908405,	,-2
0.0247428125,	,0,	,0.0291272617908405,	,-2
0.0247428125,	,0,	,0.0291272617908405,	,-2
0.0247428125,	,0,	,0.0291272617908405,	,-3
0.0326246875,	,0,	,0.0291272617908405,	,-3
0.0326246875,	,0,	,0.04005985426980963,	,-3
0.0326246875,	,0,	,0.04005985426980963,	,-3
0.0326246875,	,0,	,0.04005985426980963,	,-3
0.0326246875,	,0,	,0.04005985426980963,	,-3
0.0326246875,	,0,	,0.04005985426980963,	,-3
0.0326246875,	,0,	,0.04005985426980963,	,-3
0.0326246875,	,0,	,0.04005985426980963,	,-3
0.0407559375,	,0,	,0.04005985426980963,	,-3
0.0407559375,	,0,	,0.04005985426980963,	,-4
0.0407559375,	,0,	,0.04005985426980963,	,-4
0.0407559375,	,0,	,0.04005985426980963,	,-4
0.0407559375,	,0,	,0.04919791976529998,	,-4
0.0407559375,	,0,	,0.04919791976529998,	,-4
0.0407559375,	,0,	,0.04919791976529998,	,-4
0.0407559375,	,0,	,0.04919791976529998,	,-4
0.04877375,	,0,	,0.04919791976529998,	,-4
0.04877375,	,0,	,0.04919791976529998,	,-4
0.04877375,	,0,	,0.04919791976529998,	,-4
0.04877375,	,0,	,0.04919791976529998,	,-5
0.04877375,	,0,	,0.04919791976529998,	,-5
0.04877375,	,0,	,0.04919791976529998,	,-5
0.04877375,	,0,	,0.04919791976529998,	,-5
0.04877375,	,0,	,0.059253702827532825,	,-5
0.0568609375,	,0,	,0.059253702827532825,	,-5
0.0568609375,	,0,	,0.059253702827532825,	,-5
0.0568609375,	,0,	,0.059253702827532825,	,-5
0.0568609375,	,0,	,0.059253702827532825,	,-5
0.0568609375,	,0,	,0.059253702827532825,	,-6
0.0568609375,	,0,	,0.059253702827532825,	,-6
0.0568609375,	,0,	,0.059253702827532825,	,-6
0.0568609375,	,0,	,0.059253702827532825,	,-6
0.0568609375,	,0,	,0.059253702827532825,	,-6
0.065183125,	,0,	,0.07021105773605035,	,-6
0.065183125,	,0,	,0.07021105773605035,	,-6
0.065183125,	,0,	,0.07021105773605035,	,-6
0.065183125,	,0,	,0.07021105773605035,	,-6
0.065183125,	,0,	,0.07021105773605035,	,-6
0.065183125,	,0,	,0.07021105773605035,	,-7
0.065183125,	,0,	,0.07021105773605035,	,-7
0.065183125,	,0,	,0.07021105773605035,	,-7
0.073145,	,0,	,0.07021105773605035,	,-7
0.073145,	,0,	,0.07021105773605035,	,-7
0.073145,	,0,	,0.07021105773605035,	,-7
0.073145,	,0,	,0.07939564920359891,	,-7
0.073145,	,0,	,0.07939564920359891,	,-7
0.073145,	,0,	,0.07939564920359891,	,-7
0.073145,	,0,	,0.07939564920359891,	,-7
0.073145,	,0,	,0.07939564920359891,	,-8
0.081145,	,0,	,0.07939564920359891,	,-8
0.081145,	,0,	,0.07939564920359891,	,-8
0.081145,	,0,	,0.07939564920359891,	,-8
0.081145,	,0,	,0.07939564920359891,	,-8
0.081145,	,0,	,0.07939564920359891,	,-8
0.081145,	,0,	,0.07939564920359891,	,-8
0.081145,	,0,	,0.08947851614959737,	,-8
0.088796875,	,0,	,0.08947851614959737,	,-8
0.088796875,	,0,	,0.08947851614959737,	,-8
0.088796875,	,0,	,0.08947851614959737,	,-9
0.088796875,	,0,	,0.08947851614959737,	,-9
0.088796875,	,0,	,0.08947851614959737,	,-9
0.088796875,	,0,	,0.08947851614959737,	,-9
0.088796875,	,0,	,0.08947851614959737,	,-9
0.0967059375,	,0,	,0.08947851614959737,	,-9
0.0967059375,	,0,	,0.08947851614959737,	,-9
0.0967059375,	,0,	,0.0995810189717475,	,-9
0.0967059375,	,0,	,0.0995810189717475,	,-9
0.0967059375,	,0,	,0.0995810189717475,	,-9
0.0967059375,	,0,	,0.0995810189717475,	,-10
0.0967059375,	,0,	,0.0995810189717475,	,-10
0.0967059375,	,0,	,0.0995810189717475,	,-10
0.104675,	,0,	,0.0995810189717475,	,-10
0.104675,	,0,	,0.0995810189717475,	,-10
0.104675,	,0,	,0.0995810189717475,	,-10
0.104675,	,0,	,0.0995810189717475,	,-10
0.104675,	,0,	,0.0995810189717475,	,-10
0.104675,	,0,	,0.10968609979520841,	,-10
0.104675,	,0,	,0.10968609979520841,	,-10
0.104675,	,0,	,0.10968609979520841,	,-11
0.112805,	,0,	,0.10968609979520841,	,-11
0.112805,	,0,	,0.10968609979520841,	,-11
0.112805,	,0,	,0.10968609979520841,	,-11
0.112805,	,0,	,0.10968609979520841,	,-11
0.112805,	,0,	,0.10968609979520841,	,-11
0.112805,	,0,	,0.10968609979520841,	,-11
0.112805,	,0,	,0.10968609979520841,	,-11
0.112805,	,0,	,0.10968609979520841,	,-11
0.12075875,	,0,	,0.11980361181254218,	,-11
0.12075875,	,0,	,0.11980361181254218,	,-12
0.12075875,	,0,	,0.11980361181254218,	,-12
0.12075875,	,0,	,0.11980361181254218,	,-12
0.12075875,	,0,	,0.11980361181254218,	,-12
0.12075875,	,0,	,0.11980361181254218,	,-12
0.12075875,	,0,	,0.11980361181254218,	,-12
0.1286409375,	,0,	,0.11980361181254218,	,-12
0.1286409375,	,0,	,0.11980361181254218,	,-12
0.1286409375,	,0,	,0.11980361181254218,	,-12
0.1286409375,	,0,	,0.1490450489419734,	,-13
0.1286409375,	,0,	,0.1490450489419734,	,-13
0.1286409375,	,0,	,0.1490450489419734,	,-13
0.1286409375,	,0,	,0.1490450489419734,	,-13
0.1286409375,	,0,	,0.1490450489419734,	,-13
0.1367790625,	,0,	,0.1490450489419734,	,-13
0.1367790625,	,0,	,0.1490450489419734,	,-13
0.1367790625,	,0,	,0.1490450489419734,	,-13
