Time,	,Position,	,AnalogVolt,	,Error
-102.0,	,0,	,0,,
0.0,	,0,	,0,,
103.0,	,0,	,0,,
200.0,	,0,	,0,,
301.0,	,0,	,0,,
399.0,	,0,	,0,,
492.0,	,0,	,0,,
698.0,	,0,	,0,,
797.0,	,0,	,0,,
901.0,	,0,	,0,,
1001.0,	,0,	,0,,
1099.0,	,0,	,0,,
1199.0,	,0,	,0,,
1296.0,	,0,	,0,,
1381.0,	,0,	,0,,
1472.0,	,0,	,0,,
1600.0,	,0,	,0,,
1699.0,	,0,	,0,,
1802.0,	,0,	,0,,
1902.0,	,0,	,0,,
1997.0,	,0,	,0,,
2096.0,	,0,	,0,,
2182.0,	,0,	,0,,
2273.0,	,0,	,0,,
2374.0,	,0,	,0,,
2481.0,	,0,	,0,,
2599.0,	,0,	,0,,
2678.0,	,0,	,0,,
2782.0,	,0,	,0,,
2884.0,	,0,	,0,,
2974.0,	,0,	,0,,
3070.0,	,0,	,0,,
3174.0,	,0,	,0,,
3273.0,	,0,	,0,,
3379.0,	,0,	,0,,
3475.0,	,0,	,0,,
3579.0,	,0,	,0,,
3688.0,	,0,	,0,,
3779.0,	,0,	,0,,
3880.0,	,0,	,0,,
3982.0,	,0,	,0,,
4080.0,	,0,	,0,,
4190.0,	,0,	,0,,
4296.0,	,0,	,0,,
4393.0,	,0,	,0,,
4501.0,	,0,	,-1,,
4596.0,	,0,	,-1,,
4696.0,	,0,	,-1,,
4803.0,	,0,	,-1,,
4893.0,	,0,	,-1,,
4996.0,	,0,	,-1,,
5090.0,	,0,	,-1,,
5205.0,	,0,	,-1,,
5295.0,	,0,	,-1,,
5380.0,	,0,	,-1,,
5476.0,	,0,	,-1,,
5579.0,	,0,	,-1,,
5680.0,	,0,	,-1,,
5791.0,	,0,	,-1,,
5897.0,	,0,	,-1,,
5991.0,	,0,	,-1,,
6098.0,	,0,	,-1,,
6296.0,	,0,	,-1,,
6391.0,	,0,	,-1,,
6498.0,	,0,	,-1,,
6593.0,	,0,	,-1,,
6698.0,	,0,	,-1,,
6791.0,	,0,	,-1,,
6900.0,	,0,	,-1,,
6995.0,	,0,	,-1,,
7089.0,	,0,	,-1,,
7200.0,	,0,	,-1,,
7294.0,	,0,	,-1,,
7400.0,	,0,	,-1,,
7490.0,	,0,	,-1,,
7597.0,	,0,	,-1,,
7690.0,	,0,	,-1,,
7891.0,	,0,	,-1,,
7998.0,	,0,	,-1,,
8092.0,	,0,	,-1,,
8201.0,	,0,	,-1,,
8296.0,	,0,	,-1,,
