Time,	,Position,	,Error
23610.0,	,15,	,-10
23704.0,	,15,	,-8
23805.0,	,15,	,-8
23893.0,	,15,	,-8
24004.0,	,15,	,-9
24104.0,	,15,	,-9
24200.0,	,15,	,-9
24292.0,	,15,	,-9
24402.0,	,16,	,-9
24512.0,	,16,	,-8
24609.0,	,16,	,-8
24693.0,	,16,	,-8
24803.0,	,16,	,-8
24902.0,	,16,	,-8
25005.0,	,16,	,-8
25083.0,	,16,	,-8
25195.0,	,16,	,-9
25270.0,	,17,	,-9
25381.0,	,17,	,-8
25470.0,	,17,	,-8
25582.0,	,17,	,-8
25679.0,	,17,	,-8
25779.0,	,17,	,-8
25876.0,	,17,	,-8
25978.0,	,17,	,-8
26072.0,	,19,	,-8
26205.0,	,19,	,-6
26293.0,	,19,	,-6
26415.0,	,19,	,-7
26502.0,	,19,	,-7
26598.0,	,19,	,-7
26692.0,	,19,	,-7
26816.0,	,20,	,-7
26901.0,	,20,	,-6
27014.0,	,20,	,-6
27084.0,	,20,	,-6
27204.0,	,20,	,-6
27316.0,	,20,	,-6
27412.0,	,20,	,-6
27500.0,	,20,	,-6
27613.0,	,21,	,-6
27692.0,	,21,	,-6
27805.0,	,21,	,-6
27903.0,	,21,	,-6
27997.0,	,21,	,-6
28093.0,	,21,	,-6
28204.0,	,21,	,-6
28294.0,	,21,	,-6
28417.0,	,23,	,-6
28515.0,	,23,	,-4
28608.0,	,23,	,-4
28693.0,	,23,	,-4
28814.0,	,23,	,-4
28905.0,	,23,	,-4
29015.0,	,23,	,-4
29101.0,	,23,	,-5
29207.0,	,24,	,-5
29314.0,	,24,	,-4
29406.0,	,24,	,-4
29479.0,	,24,	,-4
29580.0,	,24,	,-4
29680.0,	,24,	,-4
29795.0,	,24,	,-4
29881.0,	,24,	,-4
30014.0,	,26,	,-4
30100.0,	,26,	,-2
30219.0,	,26,	,-2
30299.0,	,26,	,-2
30411.0,	,26,	,-2
30511.0,	,26,	,-2
30614.0,	,26,	,-3
30692.0,	,26,	,-3
30798.0,	,26,	,-3
30878.0,	,27,	,-3
30983.0,	,27,	,-2
31093.0,	,27,	,-2
31198.0,	,27,	,-2
31303.0,	,27,	,-2
31400.0,	,27,	,-2
31499.0,	,27,	,-2
31613.0,	,28,	,-2
31691.0,	,28,	,-1
31803.0,	,28,	,-1
31894.0,	,28,	,-1
32011.0,	,28,	,-1
32115.0,	,28,	,-2
32200.0,	,28,	,-2
32301.0,	,28,	,-2
32421.0,	,29,	,-2
32511.0,	,29,	,-1
32612.0,	,29,	,-1
32688.0,	,29,	,-1
32803.0,	,29,	,-1
32886.0,	,29,	,-1
33010.0,	,29,	,-1
33102.0,	,29,	,-1
33194.0,	,29,	,-1
33289.0,	,31,	,1
33402.0,	,31,	,1
33494.0,	,31,	,1
33601.0,	,31,	,1
33702.0,	,31,	,1
33811.0,	,31,	,0
33891.0,	,31,	,0
34018.0,	,32,	,0
34104.0,	,32,	,1
34202.0,	,32,	,1
34290.0,	,32,	,1
34406.0,	,32,	,1
34511.0,	,32,	,1
34606.0,	,32,	,1
34695.0,	,32,	,1
34793.0,	,32,	,1
34874.0,	,33,	,1
34978.0,	,33,	,2
35091.0,	,33,	,2
35205.0,	,33,	,2
35298.0,	,33,	,2
35393.0,	,33,	,2
35495.0,	,33,	,2
35604.0,	,33,	,1
35673.0,	,34,	,1
35777.0,	,34,	,2
35872.0,	,34,	,2
36006.0,	,34,	,2
36111.0,	,34,	,2
36205.0,	,34,	,2
36290.0,	,34,	,2
36405.0,	,34,	,2
36477.0,	,34,	,2
36579.0,	,34,	,2
36673.0,	,34,	,2
36783.0,	,34,	,2
36911.0,	,34,	,2
36997.0,	,34,	,2
37093.0,	,34,	,2
37206.0,	,34,	,2
37313.0,	,35,	,3
37400.0,	,35,	,3
37491.0,	,35,	,3
37615.0,	,35,	,3
37710.0,	,35,	,2
37804.0,	,35,	,2
37890.0,	,35,	,2
37991.0,	,35,	,2
38082.0,	,36,	,2
38171.0,	,36,	,3
38291.0,	,36,	,3
38400.0,	,36,	,3
38504.0,	,36,	,3
38612.0,	,36,	,3
38691.0,	,36,	,3
38816.0,	,36,	,3
38904.0,	,36,	,3
39004.0,	,36,	,3
39092.0,	,36,	,3
39178.0,	,36,	,3
39289.0,	,36,	,3
39414.0,	,36,	,3
39488.0,	,36,	,3
39598.0,	,36,	,3
39677.0,	,37,	,3
39785.0,	,37,	,4
39868.0,	,37,	,4
39977.0,	,37,	,4
40083.0,	,37,	,3
40176.0,	,37,	,3
40280.0,	,37,	,3
40380.0,	,37,	,3
40470.0,	,37,	,3
40583.0,	,37,	,3
40681.0,	,37,	,3
40776.0,	,37,	,3
40872.0,	,37,	,3
40973.0,	,37,	,3
41081.0,	,37,	,3
41176.0,	,37,	,3
41270.0,	,37,	,3
41383.0,	,37,	,3
41468.0,	,37,	,3
41597.0,	,37,	,3
41693.0,	,37,	,3
41810.0,	,37,	,3
41887.0,	,37,	,3
42015.0,	,38,	,3
42103.0,	,38,	,4
42203.0,	,38,	,4
42293.0,	,38,	,4
42379.0,	,38,	,4
42510.0,	,38,	,4
42597.0,	,38,	,4
42693.0,	,38,	,4
42788.0,	,38,	,4
42880.0,	,38,	,4
42980.0,	,38,	,4
43077.0,	,38,	,4
43180.0,	,38,	,3
43285.0,	,38,	,3
43401.0,	,38,	,3
43493.0,	,38,	,3
43593.0,	,38,	,3
43674.0,	,38,	,3
43770.0,	,38,	,3
43892.0,	,38,	,3
43982.0,	,38,	,3
44097.0,	,38,	,3
44196.0,	,38,	,3
44295.0,	,38,	,3
44407.0,	,38,	,3
44512.0,	,38,	,3
44597.0,	,38,	,3
44692.0,	,38,	,3
44805.0,	,38,	,3
44905.0,	,38,	,3
45002.0,	,38,	,3
45090.0,	,38,	,3
45194.0,	,38,	,3
45276.0,	,38,	,3
45373.0,	,38,	,3
45488.0,	,38,	,3
45579.0,	,38,	,3
45683.0,	,38,	,3
45815.0,	,38,	,3
45890.0,	,38,	,3
46011.0,	,38,	,3
46093.0,	,38,	,3
46199.0,	,38,	,3
46289.0,	,38,	,3
46404.0,	,38,	,3
46480.0,	,38,	,3
46604.0,	,38,	,3
46694.0,	,38,	,3
46802.0,	,38,	,3
46911.0,	,38,	,3
47000.0,	,38,	,3
47093.0,	,38,	,3
47206.0,	,38,	,3
47272.0,	,38,	,3
47402.0,	,38,	,3
47486.0,	,38,	,3
47602.0,	,38,	,3
47673.0,	,38,	,3
47771.0,	,38,	,3
47864.0,	,38,	,3
47977.0,	,38,	,3
48094.0,	,38,	,3
48203.0,	,38,	,3
48291.0,	,38,	,3
48417.0,	,38,	,3
48482.0,	,38,	,3
48583.0,	,38,	,3
48677.0,	,38,	,3
48800.0,	,38,	,3
48909.0,	,38,	,3
48996.0,	,38,	,3
49089.0,	,38,	,3
49182.0,	,38,	,3
49274.0,	,38,	,3
49376.0,	,38,	,3
49464.0,	,38,	,3
49596.0,	,38,	,3
49705.0,	,38,	,3
49802.0,	,38,	,3
49876.0,	,38,	,3
49985.0,	,38,	,3
50081.0,	,38,	,3
50172.0,	,38,	,3
50270.0,	,38,	,3
50410.0,	,38,	,3
50501.0,	,38,	,3
50604.0,	,38,	,3
50684.0,	,38,	,2
50775.0,	,38,	,3
50878.0,	,38,	,3
50981.0,	,38,	,3
51073.0,	,38,	,3
51205.0,	,38,	,3
51305.0,	,38,	,3
51399.0,	,38,	,3
51489.0,	,38,	,3
51593.0,	,38,	,3
51707.0,	,38,	,3
51812.0,	,38,	,3
51893.0,	,38,	,3
52010.0,	,38,	,3
52106.0,	,38,	,3
52210.0,	,38,	,3
52284.0,	,38,	,3
52391.0,	,38,	,3
52470.0,	,38,	,3
52582.0,	,38,	,3
52688.0,	,38,	,3
52805.0,	,38,	,3
52906.0,	,38,	,3
53005.0,	,38,	,3
53077.0,	,38,	,3
53192.0,	,38,	,3
53275.0,	,38,	,3
53381.0,	,38,	,3
53470.0,	,38,	,3
53581.0,	,38,	,3
53686.0,	,38,	,3
53804.0,	,38,	,3
53887.0,	,38,	,3
54006.0,	,38,	,3
54069.0,	,38,	,3
54181.0,	,38,	,3
