Time,	,Position,	,Error
257799.0,	,37,	,2
257890.0,	,37,	,2
257998.0,	,37,	,2
258077.0,	,37,	,2
258173.0,	,37,	,2
258291.0,	,37,	,2
258400.0,	,37,	,2
258500.0,	,37,	,2
258599.0,	,37,	,2
258694.0,	,37,	,2
258802.0,	,37,	,3
258885.0,	,37,	,3
258976.0,	,37,	,3
259087.0,	,37,	,3
259213.0,	,37,	,3
259292.0,	,37,	,3
259393.0,	,37,	,3
259490.0,	,37,	,3
259601.0,	,37,	,3
259711.0,	,37,	,3
259804.0,	,37,	,3
259891.0,	,37,	,3
259993.0,	,37,	,3
260111.0,	,37,	,3
260176.0,	,37,	,3
260271.0,	,37,	,3
260374.0,	,37,	,3
260483.0,	,37,	,3
260570.0,	,37,	,3
260687.0,	,37,	,3
260790.0,	,37,	,3
260910.0,	,37,	,3
261010.0,	,37,	,3
261095.0,	,37,	,3
261189.0,	,37,	,3
261373.0,	,37,	,3
261469.0,	,37,	,3
261594.0,	,37,	,3
261704.0,	,37,	,3
261808.0,	,37,	,3
261890.0,	,37,	,3
262019.0,	,37,	,4
262097.0,	,37,	,4
262212.0,	,37,	,4
262292.0,	,37,	,4
262405.0,	,37,	,4
262505.0,	,37,	,4
262607.0,	,37,	,4
262691.0,	,37,	,4
262799.0,	,37,	,4
262883.0,	,36,	,4
262962.0,	,36,	,3
263086.0,	,36,	,3
263176.0,	,36,	,3
263284.0,	,36,	,3
263424.0,	,36,	,3
263499.0,	,36,	,3
263610.0,	,36,	,3
263683.0,	,36,	,3
263768.0,	,36,	,3
263892.0,	,36,	,3
264024.0,	,36,	,3
264110.0,	,36,	,3
264197.0,	,36,	,3
264294.0,	,36,	,3
264414.0,	,36,	,4
264484.0,	,36,	,4
264614.0,	,36,	,4
264692.0,	,36,	,4
264804.0,	,36,	,4
264904.0,	,36,	,4
265021.0,	,36,	,4
265094.0,	,36,	,4
265200.0,	,36,	,4
265288.0,	,36,	,4
265377.0,	,36,	,4
265488.0,	,36,	,4
265618.0,	,36,	,4
265715.0,	,36,	,4
265797.0,	,36,	,4
265888.0,	,36,	,4
266006.0,	,36,	,4
266091.0,	,36,	,4
266183.0,	,36,	,4
266288.0,	,36,	,4
266405.0,	,36,	,4
266494.0,	,36,	,5
266624.0,	,36,	,5
266692.0,	,36,	,5
266811.0,	,36,	,5
266883.0,	,36,	,5
266968.0,	,36,	,5
267092.0,	,36,	,5
267224.0,	,36,	,5
267324.0,	,36,	,5
267408.0,	,36,	,5
267493.0,	,36,	,5
267612.0,	,36,	,5
267700.0,	,36,	,5
267801.0,	,36,	,5
267892.0,	,36,	,5
268003.0,	,36,	,5
268103.0,	,36,	,5
268186.0,	,36,	,5
268294.0,	,36,	,6
268415.0,	,36,	,6
268494.0,	,36,	,6
268577.0,	,36,	,6
268699.0,	,36,	,6
268824.0,	,36,	,6
268910.0,	,36,	,6
269004.0,	,36,	,6
269102.0,	,36,	,6
269211.0,	,36,	,6
269304.0,	,36,	,6
269411.0,	,36,	,6
269469.0,	,36,	,6
269591.0,	,36,	,6
269669.0,	,36,	,6
269777.0,	,36,	,6
269873.0,	,36,	,6
269984.0,	,36,	,7
270064.0,	,36,	,7
270181.0,	,36,	,7
270266.0,	,36,	,7
270417.0,	,36,	,7
270517.0,	,36,	,7
270598.0,	,36,	,7
270691.0,	,36,	,7
270817.0,	,36,	,7
270916.0,	,36,	,7
270992.0,	,36,	,7
271093.0,	,36,	,7
271226.0,	,36,	,7
271323.0,	,36,	,7
271407.0,	,36,	,7
271489.0,	,36,	,8
271604.0,	,36,	,8
271677.0,	,36,	,8
271785.0,	,36,	,8
271872.0,	,36,	,8
271983.0,	,36,	,8
272089.0,	,36,	,8
272203.0,	,36,	,8
272289.0,	,36,	,8
272416.0,	,36,	,8
272521.0,	,36,	,8
272601.0,	,36,	,8
272692.0,	,36,	,8
272802.0,	,36,	,8
272903.0,	,36,	,8
273016.0,	,36,	,9
273091.0,	,36,	,9
273216.0,	,36,	,9
273316.0,	,36,	,9
273403.0,	,36,	,9
273500.0,	,36,	,9
273604.0,	,36,	,9
273703.0,	,36,	,9
273804.0,	,36,	,9
273891.0,	,36,	,9
274012.0,	,36,	,9
274111.0,	,36,	,9
274212.0,	,36,	,9
274290.0,	,36,	,9
274395.0,	,36,	,10
274481.0,	,36,	,10
274598.0,	,36,	,10
274694.0,	,36,	,10
274811.0,	,35,	,10
274907.0,	,35,	,9
275012.0,	,35,	,9
275094.0,	,35,	,9
275197.0,	,35,	,9
275304.0,	,35,	,9
275407.0,	,35,	,9
275499.0,	,35,	,9
275589.0,	,35,	,9
275674.0,	,35,	,10
275772.0,	,35,	,10
275871.0,	,35,	,10
275972.0,	,35,	,10
276064.0,	,35,	,10
276173.0,	,35,	,10
276263.0,	,35,	,10
276377.0,	,35,	,10
276468.0,	,34,	,9
276578.0,	,34,	,9
276678.0,	,34,	,9
276781.0,	,34,	,9
276895.0,	,34,	,10
276994.0,	,34,	,10
277087.0,	,34,	,10
277198.0,	,34,	,10
277281.0,	,34,	,10
277398.0,	,34,	,10
277490.0,	,34,	,10
277598.0,	,34,	,10
277706.0,	,34,	,10
277794.0,	,34,	,10
277897.0,	,34,	,10
278006.0,	,34,	,10
278090.0,	,33,	,10
278197.0,	,33,	,10
278292.0,	,33,	,10
278405.0,	,33,	,10
278493.0,	,33,	,10
278595.0,	,33,	,10
278687.0,	,33,	,10
278804.0,	,33,	,10
278871.0,	,32,	,10
278981.0,	,32,	,9
279067.0,	,32,	,9
279206.0,	,32,	,9
279300.0,	,32,	,10
279403.0,	,32,	,10
279465.0,	,32,	,10
279604.0,	,32,	,10
279667.0,	,31,	,10
279776.0,	,31,	,9
279866.0,	,31,	,9
279995.0,	,31,	,9
280090.0,	,31,	,9
280201.0,	,31,	,9
280283.0,	,31,	,9
280376.0,	,31,	,10
280477.0,	,30,	,10
280575.0,	,30,	,9
280663.0,	,30,	,9
280784.0,	,30,	,9
280867.0,	,30,	,9
281008.0,	,30,	,9
281087.0,	,30,	,9
281211.0,	,29,	,9
281296.0,	,29,	,8
281393.0,	,29,	,8
281498.0,	,29,	,9
281585.0,	,29,	,9
281707.0,	,29,	,9
281787.0,	,29,	,9
281889.0,	,29,	,9
281987.0,	,29,	,9
282076.0,	,27,	,9
282175.0,	,27,	,7
282291.0,	,27,	,7
282400.0,	,27,	,7
282480.0,	,27,	,7
282605.0,	,27,	,8
282694.0,	,27,	,8
282788.0,	,27,	,8
282871.0,	,26,	,8
282978.0,	,26,	,7
283068.0,	,26,	,7
283183.0,	,26,	,7
283293.0,	,26,	,7
283390.0,	,26,	,7
283495.0,	,26,	,7
283608.0,	,26,	,7
283671.0,	,25,	,8
283771.0,	,25,	,7
283874.0,	,25,	,7
283971.0,	,25,	,7
284081.0,	,25,	,7
284203.0,	,25,	,7
284295.0,	,25,	,7
284392.0,	,25,	,7
284473.0,	,24,	,7
284575.0,	,24,	,6
284663.0,	,24,	,7
284808.0,	,24,	,7
284894.0,	,24,	,7
285008.0,	,24,	,7
285069.0,	,24,	,7
285211.0,	,23,	,7
285303.0,	,23,	,6
285394.0,	,23,	,6
285493.0,	,23,	,6
285581.0,	,23,	,6
285709.0,	,23,	,7
285795.0,	,23,	,7
285895.0,	,23,	,7
285993.0,	,23,	,7
286073.0,	,21,	,5
286207.0,	,21,	,5
286272.0,	,21,	,5
286387.0,	,21,	,5
286475.0,	,21,	,5
286577.0,	,21,	,5
286677.0,	,21,	,6
286777.0,	,21,	,6
286871.0,	,20,	,6
286977.0,	,20,	,5
287069.0,	,20,	,5
287206.0,	,20,	,5
287294.0,	,20,	,5
287398.0,	,20,	,5
287493.0,	,20,	,5
287618.0,	,19,	,5
287699.0,	,19,	,5
287794.0,	,19,	,5
287890.0,	,19,	,5
288007.0,	,19,	,5
288089.0,	,19,	,5
288198.0,	,19,	,5
288289.0,	,19,	,5
288412.0,	,18,	,5
288499.0,	,18,	,4
288600.0,	,18,	,5
288694.0,	,18,	,5
288810.0,	,18,	,5
288908.0,	,18,	,5
289012.0,	,18,	,5
289086.0,	,18,	,5
289213.0,	,17,	,5
289309.0,	,17,	,4
289410.0,	,17,	,4
289490.0,	,17,	,4
289599.0,	,17,	,5
289711.0,	,17,	,5
289809.0,	,17,	,5
289892.0,	,17,	,5
290009.0,	,16,	,5
290106.0,	,16,	,4
290193.0,	,16,	,4
290280.0,	,16,	,4
290369.0,	,16,	,4
290472.0,	,16,	,5
290573.0,	,16,	,5
290670.0,	,16,	,5
290814.0,	,15,	,5
290904.0,	,15,	,4
291002.0,	,15,	,4
291101.0,	,15,	,4
291207.0,	,15,	,4
291307.0,	,15,	,4
291409.0,	,15,	,4
291495.0,	,15,	,5
291612.0,	,14,	,5
291696.0,	,14,	,4
291809.0,	,14,	,4
291891.0,	,14,	,4
292009.0,	,14,	,4
292105.0,	,14,	,4
292203.0,	,14,	,4
292295.0,	,14,	,4
292407.0,	,13,	,5
292503.0,	,13,	,4
292593.0,	,13,	,4
292686.0,	,13,	,4
292790.0,	,13,	,4
292899.0,	,13,	,4
292994.0,	,13,	,4
293092.0,	,13,	,4
293193.0,	,13,	,4
293295.0,	,12,	,4
293399.0,	,12,	,4
293483.0,	,12,	,4
293597.0,	,12,	,4
293695.0,	,12,	,4
293803.0,	,12,	,4
293883.0,	,12,	,4
294004.0,	,12,	,4
294081.0,	,12,	,4
294175.0,	,12,	,5
294269.0,	,12,	,5
294374.0,	,12,	,5
294467.0,	,12,	,5
294583.0,	,12,	,5
294672.0,	,12,	,5
294784.0,	,12,	,5
294871.0,	,11,	,5
294975.0,	,11,	,4
295071.0,	,11,	,5
295202.0,	,11,	,5
295295.0,	,11,	,5
295403.0,	,11,	,5
295473.0,	,11,	,5
295596.0,	,11,	,5
295673.0,	,11,	,5
295773.0,	,11,	,5
295873.0,	,11,	,5
295984.0,	,11,	,6
296093.0,	,11,	,6
296202.0,	,11,	,6
296274.0,	,11,	,6
296369.0,	,11,	,6
296471.0,	,10,	,6
296574.0,	,10,	,5
296666.0,	,10,	,5
296775.0,	,10,	,5
296874.0,	,10,	,6
296977.0,	,10,	,6
297080.0,	,10,	,6
297215.0,	,9,	,6
297307.0,	,9,	,5
297399.0,	,9,	,5
297489.0,	,9,	,5
297596.0,	,9,	,5
297691.0,	,9,	,5
297797.0,	,9,	,6
297867.0,	,9,	,6
298001.0,	,9,	,6
298066.0,	,9,	,6
298169.0,	,9,	,6
298263.0,	,9,	,6
298394.0,	,9,	,6
298481.0,	,9,	,6
298595.0,	,9,	,6
298680.0,	,9,	,7
298811.0,	,8,	,7
298892.0,	,8,	,6
298980.0,	,8,	,6
299090.0,	,8,	,6
299179.0,	,8,	,6
299291.0,	,8,	,6
299371.0,	,8,	,6
299489.0,	,8,	,6
299579.0,	,8,	,7
299682.0,	,8,	,7
299797.0,	,8,	,7
299984.0,	,8,	,7
300086.0,	,8,	,7
300176.0,	,8,	,7
300286.0,	,8,	,7
300383.0,	,8,	,7
300466.0,	,7,	,7
300565.0,	,7,	,7
300662.0,	,7,	,7
300770.0,	,7,	,7
300861.0,	,7,	,7
301002.0,	,7,	,7
301087.0,	,7,	,7
301208.0,	,7,	,7
301268.0,	,6,	,7
301378.0,	,6,	,6
301465.0,	,6,	,6
301572.0,	,6,	,6
301668.0,	,6,	,6
301782.0,	,6,	,6
301874.0,	,6,	,6
301982.0,	,6,	,6
302075.0,	,6,	,6
302166.0,	,6,	,6
302276.0,	,6,	,7
302368.0,	,6,	,7
302481.0,	,6,	,7
302574.0,	,6,	,7
302687.0,	,6,	,7
302817.0,	,5,	,7
302889.0,	,5,	,6
302992.0,	,5,	,6
303088.0,	,5,	,6
303187.0,	,5,	,7
303304.0,	,5,	,7
303397.0,	,5,	,7
303492.0,	,5,	,7
303592.0,	,5,	,7
303675.0,	,4,	,7
303774.0,	,4,	,6
303868.0,	,4,	,6
303996.0,	,4,	,6
304084.0,	,4,	,7
304195.0,	,4,	,7
304293.0,	,4,	,7
304403.0,	,4,	,7
304476.0,	,4,	,7
304561.0,	,4,	,7
304667.0,	,4,	,7
304762.0,	,4,	,7
304883.0,	,4,	,7
304983.0,	,4,	,8
305084.0,	,4,	,8
305225.0,	,3,	,8
305308.0,	,3,	,7
305397.0,	,3,	,7
305492.0,	,3,	,7
305591.0,	,3,	,7
305701.0,	,3,	,7
305784.0,	,3,	,7
305887.0,	,3,	,8
306072.0,	,2,	,8
306175.0,	,2,	,7
306263.0,	,2,	,7
306380.0,	,2,	,7
306459.0,	,2,	,7
306570.0,	,2,	,7
306699.0,	,2,	,7
306827.0,	,1,	,7
306883.0,	,1,	,7
306972.0,	,1,	,7
307061.0,	,1,	,7
307203.0,	,1,	,7
307291.0,	,1,	,7
307410.0,	,1,	,7
307466.0,	,1,	,7
307626.0,	,0,	,7
307697.0,	,0,	,6
307791.0,	,0,	,7
307867.0,	,0,	,7
307986.0,	,0,	,7
308108.0,	,0,	,7
308223.0,	,0,	,7
308308.0,	,0,	,7
308422.0,	,-1,	,7
308526.0,	,-1,	,6
308611.0,	,-1,	,6
308696.0,	,-1,	,7
308812.0,	,-1,	,7
308903.0,	,-1,	,7
308983.0,	,-1,	,7
309100.0,	,-1,	,7
309223.0,	,-1,	,7
309283.0,	,-1,	,7
309403.0,	,-1,	,7
309484.0,	,-1,	,7
309604.0,	,-1,	,8
309679.0,	,-1,	,8
309789.0,	,-1,	,8
309866.0,	,-1,	,8
309996.0,	,-1,	,8
310064.0,	,-2,	,8
310160.0,	,-2,	,7
310264.0,	,-2,	,7
310373.0,	,-2,	,7
310476.0,	,-2,	,8
310573.0,	,-2,	,8
310683.0,	,-2,	,8
310771.0,	,-2,	,8
310870.0,	,-3,	,8
310968.0,	,-3,	,7
311064.0,	,-3,	,7
311168.0,	,-3,	,7
311270.0,	,-3,	,7
311400.0,	,-3,	,8
311491.0,	,-3,	,8
311590.0,	,-3,	,8
311665.0,	,-4,	,8
311774.0,	,-4,	,7
311904.0,	,-4,	,7
312014.0,	,-4,	,7
312079.0,	,-4,	,7
312218.0,	,-4,	,7
312275.0,	,-4,	,7
312421.0,	,-6,	,8
312516.0,	,-6,	,6
312611.0,	,-6,	,6
312689.0,	,-6,	,6
312825.0,	,-6,	,6
312922.0,	,-6,	,6
312991.0,	,-6,	,6
313092.0,	,-6,	,6
313176.0,	,-6,	,6
313311.0,	,-7,	,6
313421.0,	,-7,	,6
313493.0,	,-7,	,6
313620.0,	,-7,	,6
313696.0,	,-7,	,6
313813.0,	,-7,	,6
313893.0,	,-7,	,6
314025.0,	,-8,	,6
314111.0,	,-8,	,5
314216.0,	,-8,	,5
314292.0,	,-8,	,6
314401.0,	,-8,	,6
314490.0,	,-8,	,6
314591.0,	,-8,	,6
314670.0,	,-8,	,6
314794.0,	,-8,	,6
314875.0,	,-9,	,6
314966.0,	,-9,	,5
315070.0,	,-9,	,5
315179.0,	,-9,	,6
315266.0,	,-9,	,6
315372.0,	,-9,	,6
315467.0,	,-9,	,6
315577.0,	,-9,	,6
315670.0,	,-10,	,6
315777.0,	,-10,	,5
315863.0,	,-10,	,5
315976.0,	,-10,	,5
316076.0,	,-10,	,5
316174.0,	,-10,	,6
316274.0,	,-10,	,6
316390.0,	,-10,	,6
316495.0,	,-11,	,5
316606.0,	,-11,	,5
316694.0,	,-11,	,5
316803.0,	,-11,	,5
316889.0,	,-11,	,5
317006.0,	,-11,	,5
317084.0,	,-11,	,5
317207.0,	,-12,	,6
317303.0,	,-12,	,5
317385.0,	,-12,	,5
317477.0,	,-12,	,5
317600.0,	,-12,	,5
317709.0,	,-12,	,5
317785.0,	,-12,	,5
317883.0,	,-12,	,5
318021.0,	,-13,	,5
318099.0,	,-13,	,4
318201.0,	,-13,	,5
318285.0,	,-13,	,5
318397.0,	,-13,	,5
318507.0,	,-13,	,5
318600.0,	,-13,	,5
318689.0,	,-13,	,5
318800.0,	,-13,	,5
318877.0,	,-14,	,5
318981.0,	,-14,	,4
319075.0,	,-14,	,4
319200.0,	,-14,	,5
319308.0,	,-14,	,5
319396.0,	,-14,	,5
319493.0,	,-14,	,5
319599.0,	,-14,	,5
319671.0,	,-15,	,5
319779.0,	,-15,	,4
319871.0,	,-15,	,4
319993.0,	,-15,	,4
320102.0,	,-15,	,4
320207.0,	,-15,	,4
320279.0,	,-15,	,5
320382.0,	,-15,	,5
320470.0,	,-16,	,5
320577.0,	,-16,	,4
320666.0,	,-16,	,4
320777.0,	,-16,	,4
320877.0,	,-16,	,4
320977.0,	,-16,	,4
321086.0,	,-16,	,4
321219.0,	,-17,	,4
321304.0,	,-17,	,3
321407.0,	,-17,	,4
321495.0,	,-17,	,4
321580.0,	,-17,	,4
321674.0,	,-17,	,4
321774.0,	,-17,	,4
321868.0,	,-17,	,4
322023.0,	,-18,	,4
322098.0,	,-18,	,3
322204.0,	,-18,	,3
322295.0,	,-18,	,3
322409.0,	,-18,	,3
322498.0,	,-18,	,4
322607.0,	,-18,	,4
322691.0,	,-18,	,4
322818.0,	,-19,	,4
322905.0,	,-19,	,3
322988.0,	,-19,	,3
323091.0,	,-19,	,3
323196.0,	,-19,	,3
323297.0,	,-19,	,3
323399.0,	,-19,	,3
323487.0,	,-19,	,3
323614.0,	,-20,	,4
323696.0,	,-20,	,3
323801.0,	,-20,	,3
323895.0,	,-20,	,3
324001.0,	,-20,	,3
324106.0,	,-20,	,3
324199.0,	,-20,	,3
324295.0,	,-20,	,3
324393.0,	,-20,	,3
324503.0,	,-20,	,3
324597.0,	,-20,	,3
324687.0,	,-20,	,3
324796.0,	,-20,	,4
324891.0,	,-20,	,4
324996.0,	,-20,	,4
325094.0,	,-20,	,4
325211.0,	,-21,	,4
325299.0,	,-21,	,3
325389.0,	,-21,	,3
325494.0,	,-21,	,3
325593.0,	,-21,	,3
325698.0,	,-21,	,3
325793.0,	,-21,	,3
325895.0,	,-21,	,3
326017.0,	,-21,	,4
326071.0,	,-22,	,4
326175.0,	,-22,	,3
326270.0,	,-22,	,3
326396.0,	,-22,	,3
326486.0,	,-22,	,3
326605.0,	,-22,	,3
326696.0,	,-22,	,3
326817.0,	,-22,	,3
326892.0,	,-22,	,3
326997.0,	,-22,	,3
327075.0,	,-22,	,3
327198.0,	,-22,	,4
327292.0,	,-22,	,4
327398.0,	,-22,	,4
327481.0,	,-22,	,4
327622.0,	,-23,	,4
327699.0,	,-23,	,3
327784.0,	,-23,	,3
327889.0,	,-23,	,3
327991.0,	,-23,	,3
328099.0,	,-23,	,3
328191.0,	,-23,	,3
328291.0,	,-23,	,3
328417.0,	,-23,	,3
328484.0,	,-23,	,4
328599.0,	,-23,	,4
328675.0,	,-23,	,4
328797.0,	,-23,	,4
328901.0,	,-23,	,4
328998.0,	,-23,	,4
329074.0,	,-23,	,4
329219.0,	,-24,	,4
329300.0,	,-24,	,3
329393.0,	,-24,	,3
329493.0,	,-24,	,3
329578.0,	,-24,	,3
329673.0,	,-24,	,3
329779.0,	,-24,	,3
329882.0,	,-24,	,4
329992.0,	,-24,	,4
330077.0,	,-24,	,4
330177.0,	,-24,	,4
330268.0,	,-24,	,4
330375.0,	,-24,	,4
330473.0,	,-24,	,4
330577.0,	,-24,	,4
330664.0,	,-24,	,4
330788.0,	,-24,	,4
330871.0,	,-25,	,4
330976.0,	,-25,	,3
331069.0,	,-25,	,3
331187.0,	,-25,	,3
331298.0,	,-25,	,3
331400.0,	,-25,	,4
331487.0,	,-25,	,4
331606.0,	,-25,	,4
331674.0,	,-25,	,4
331777.0,	,-25,	,4
331869.0,	,-25,	,4
331991.0,	,-25,	,4
332098.0,	,-25,	,4
332203.0,	,-25,	,4
332299.0,	,-25,	,4
332420.0,	,-25,	,4
332493.0,	,-26,	,3
332597.0,	,-26,	,3
332692.0,	,-26,	,3
332794.0,	,-26,	,3
332901.0,	,-26,	,4
332999.0,	,-26,	,4
333092.0,	,-26,	,4
333206.0,	,-26,	,4
333271.0,	,-26,	,4
333372.0,	,-26,	,4
333465.0,	,-26,	,4
333597.0,	,-26,	,4
333698.0,	,-26,	,4
333794.0,	,-26,	,4
333892.0,	,-26,	,4
333994.0,	,-26,	,4
334074.0,	,-27,	,4
334180.0,	,-27,	,3
334271.0,	,-27,	,3
334394.0,	,-27,	,3
334499.0,	,-27,	,3
334588.0,	,-27,	,4
334697.0,	,-27,	,4
334805.0,	,-27,	,4
334877.0,	,-27,	,4
334977.0,	,-27,	,4
335069.0,	,-27,	,4
335192.0,	,-27,	,4
335298.0,	,-27,	,4
335394.0,	,-27,	,4
335487.0,	,-27,	,4
335591.0,	,-27,	,4
335697.0,	,-28,	,3
335791.0,	,-28,	,3
335889.0,	,-28,	,3
335999.0,	,-28,	,3
336101.0,	,-28,	,3
336195.0,	,-28,	,3
336273.0,	,-28,	,3
336401.0,	,-28,	,4
336476.0,	,-28,	,4
336576.0,	,-28,	,4
336679.0,	,-28,	,4
336805.0,	,-28,	,4
336893.0,	,-28,	,4
336999.0,	,-28,	,4
337080.0,	,-28,	,4
337211.0,	,-29,	,4
337298.0,	,-29,	,3
337397.0,	,-29,	,3
337494.0,	,-29,	,3
337595.0,	,-29,	,3
337699.0,	,-29,	,3
337787.0,	,-29,	,3
337890.0,	,-29,	,3
337992.0,	,-29,	,3
338071.0,	,-29,	,3
338180.0,	,-29,	,3
338266.0,	,-29,	,3
338399.0,	,-29,	,3
338508.0,	,-29,	,4
338595.0,	,-29,	,4
338694.0,	,-29,	,4
338792.0,	,-29,	,4
338873.0,	,-29,	,4
338976.0,	,-29,	,4
339065.0,	,-29,	,4
339208.0,	,-29,	,4
339300.0,	,-29,	,4
339406.0,	,-29,	,4
339481.0,	,-29,	,4
339615.0,	,-30,	,4
339695.0,	,-30,	,3
339792.0,	,-30,	,3
339877.0,	,-30,	,3
339993.0,	,-30,	,3
340066.0,	,-30,	,3
340172.0,	,-30,	,3
340270.0,	,-30,	,3
340387.0,	,-30,	,3
340475.0,	,-30,	,3
340577.0,	,-30,	,3
340665.0,	,-30,	,3
340795.0,	,-30,	,3
340910.0,	,-30,	,4
340998.0,	,-30,	,4
341093.0,	,-30,	,4
341198.0,	,-30,	,4
341272.0,	,-31,	,4
341375.0,	,-31,	,3
341468.0,	,-31,	,3
341601.0,	,-31,	,3
341691.0,	,-31,	,3
341791.0,	,-31,	,3
341891.0,	,-31,	,3
341998.0,	,-31,	,3
342078.0,	,-31,	,3
342167.0,	,-31,	,3
342266.0,	,-31,	,3
342367.0,	,-31,	,3
342478.0,	,-31,	,3
342567.0,	,-31,	,3
342665.0,	,-31,	,3
342765.0,	,-31,	,3
342865.0,	,-32,	,3
342968.0,	,-32,	,2
343065.0,	,-32,	,2
343164.0,	,-32,	,2
343263.0,	,-32,	,2
343363.0,	,-32,	,2
343465.0,	,-32,	,2
343593.0,	,-32,	,2
343666.0,	,-32,	,2
343777.0,	,-32,	,2
343866.0,	,-32,	,2
343987.0,	,-32,	,3
344070.0,	,-32,	,3
344186.0,	,-32,	,3
344283.0,	,-32,	,3
344391.0,	,-32,	,3
344483.0,	,-32,	,3
344587.0,	,-32,	,3
344686.0,	,-32,	,3
344776.0,	,-32,	,3
344874.0,	,-32,	,3
345000.0,	,-32,	,3
345072.0,	,-32,	,3
345275.0,	,-33,	,3
345375.0,	,-33,	,2
345468.0,	,-33,	,2
345592.0,	,-33,	,2
345685.0,	,-33,	,2
345827.0,	,-33,	,2
345868.0,	,-33,	,2
346000.0,	,-33,	,2
346082.0,	,-33,	,2
346170.0,	,-33,	,2
346271.0,	,-33,	,2
346420.0,	,-33,	,2
346491.0,	,-33,	,2
346582.0,	,-33,	,2
346684.0,	,-33,	,2
346829.0,	,-34,	,2
346897.0,	,-34,	,1
347019.0,	,-34,	,1
347092.0,	,-34,	,1
347192.0,	,-34,	,1
347292.0,	,-34,	,1
347391.0,	,-34,	,1
347489.0,	,-34,	,1
347623.0,	,-34,	,1
347718.0,	,-34,	,1
347793.0,	,-34,	,1
347890.0,	,-34,	,1
347991.0,	,-34,	,1
348078.0,	,-34,	,1
348192.0,	,-34,	,1
348287.0,	,-34,	,1
348392.0,	,-34,	,1
348475.0,	,-34,	,1
348593.0,	,-34,	,1
348689.0,	,-34,	,1
348798.0,	,-34,	,1
348888.0,	,-34,	,1
348998.0,	,-34,	,1
349088.0,	,-34,	,1
349191.0,	,-34,	,1
349273.0,	,-35,	,1
349367.0,	,-35,	,0
349468.0,	,-35,	,0
349589.0,	,-35,	,0
349678.0,	,-35,	,0
349775.0,	,-35,	,0
349871.0,	,-35,	,0
349974.0,	,-35,	,0
350068.0,	,-35,	,0
350182.0,	,-35,	,0
350272.0,	,-35,	,0
350379.0,	,-35,	,0
350467.0,	,-35,	,0
350583.0,	,-35,	,0
350666.0,	,-35,	,0
350775.0,	,-35,	,0
350879.0,	,-35,	,0
350969.0,	,-35,	,0
351067.0,	,-35,	,0
351187.0,	,-35,	,0
351288.0,	,-35,	,0
351390.0,	,-35,	,0
351487.0,	,-35,	,0
351594.0,	,-35,	,1
351668.0,	,-35,	,0
351767.0,	,-35,	,0
351863.0,	,-35,	,0
351997.0,	,-35,	,0
352099.0,	,-35,	,0
352187.0,	,-35,	,0
352278.0,	,-35,	,0
352431.0,	,-35,	,0
352483.0,	,-35,	,0
352627.0,	,-35,	,0
352713.0,	,-35,	,0
352826.0,	,-35,	,0
352913.0,	,-35,	,0
353024.0,	,-35,	,0
353112.0,	,-35,	,0
353211.0,	,-35,	,0
353287.0,	,-35,	,0
353402.0,	,-35,	,0
353509.0,	,-35,	,0
353603.0,	,-35,	,0
353714.0,	,-35,	,0
353801.0,	,-35,	,0
353909.0,	,-35,	,0
353979.0,	,-35,	,0
354072.0,	,-35,	,0
354171.0,	,-35,	,0
354276.0,	,-35,	,0
354413.0,	,-35,	,0
354499.0,	,-35,	,0
354615.0,	,-35,	,0
354675.0,	,-35,	,0
354790.0,	,-35,	,0
354872.0,	,-35,	,0
355002.0,	,-35,	,0
355090.0,	,-35,	,0
355201.0,	,-35,	,0
355314.0,	,-35,	,0
355401.0,	,-35,	,0
355485.0,	,-35,	,0
355605.0,	,-35,	,0
355702.0,	,-35,	,0
355815.0,	,-35,	,0
355903.0,	,-35,	,0
355992.0,	,-35,	,0
356093.0,	,-35,	,0
356211.0,	,-35,	,0
356293.0,	,-35,	,0
356416.0,	,-35,	,0
356514.0,	,-35,	,0
356577.0,	,-35,	,0
356677.0,	,-35,	,0
356775.0,	,-35,	,0
356877.0,	,-35,	,0
356992.0,	,-35,	,0
357097.0,	,-35,	,0
357198.0,	,-35,	,0
357271.0,	,-35,	,0
357378.0,	,-35,	,0
357478.0,	,-35,	,0
357621.0,	,-35,	,0
357708.0,	,-35,	,0
357821.0,	,-35,	,0
357897.0,	,-35,	,0
358025.0,	,-35,	,0
358101.0,	,-35,	,0
358193.0,	,-35,	,0
358279.0,	,-35,	,0
358397.0,	,-35,	,0
358492.0,	,-35,	,0
358599.0,	,-35,	,0
358696.0,	,-35,	,0
358804.0,	,-35,	,0
358872.0,	,-35,	,0
358975.0,	,-35,	,0
359069.0,	,-35,	,0
359170.0,	,-35,	,-1
359265.0,	,-35,	,-1
359369.0,	,-35,	,-1
359469.0,	,-35,	,-1
359576.0,	,-35,	,-1
359669.0,	,-35,	,-1
359772.0,	,-35,	,-1
359879.0,	,-35,	,-1
359980.0,	,-35,	,-1
360079.0,	,-35,	,-1
360177.0,	,-35,	,-1
360268.0,	,-35,	,-1
360375.0,	,-35,	,-1
360469.0,	,-35,	,-1
360575.0,	,-35,	,-1
360678.0,	,-35,	,-1
360811.0,	,-35,	,-1
360917.0,	,-35,	,-1
361019.0,	,-35,	,-1
361088.0,	,-35,	,-1
361205.0,	,-35,	,-1
361275.0,	,-35,	,-1
361381.0,	,-35,	,-1
